,R2,R2,MAE,MAE,RMSE,RMSE,MRE_pct,MRE_pct
,mean,std,mean,std,mean,std,mean,std
learner,,,,,,,,
lr,0.0763,0.01,220.1139,62.6317,532.4424,148.9756,580.3183,341.9733
ridge,0.0763,0.01,220.1107,62.6317,532.4424,148.9756,580.2649,341.8884
rf_light,0.1344,0.0315,191.2186,54.7162,515.1473,143.4242,188.0526,33.08
nn,0.1293,0.0257,193.0238,55.4666,516.9158,144.9493,193.2726,43.0405
llm_pilot,0.0111,0.0064,225.6158,63.879,550.7919,153.5254,823.2128,554.9158
dcpl_gate=ridge,0.1346,0.0315,190.8965,54.5512,515.0762,143.4134,183.7154,31.6616
