model_size_bin,A10,A100,H100,T4,V100
"(2.999, 7.0]",52.29968799694922,72.45381240340916,119.55293904699548,37.036939055716786,38.23425852128658
"(7.0, 11.0]",35.661430512326746,45.30416690554139,74.76040805791266,21.920989952854995,30.87529050500884
"(11.0, 15.5]",29.497494377089247,66.29797625427484,119.790912768118,28.008608606034517,
"(15.5, 20.6]",18.209380562396717,56.8181321519824,81.42110923678074,18.18181722361964,
