seed,n_train,n_test,R2,MAE,RMSE,MRE
42,110639,27660,0.1418275319227491,150.8343562640211,398.9972651574171,403.5688091202213
1042,110639,27660,0.14237004114966645,150.9309762640744,415.4685001752182,416.20650145188307
2042,110639,27660,0.14577348945263569,150.62409121891417,415.72258879655624,404.9206173747688
3042,110639,27660,0.13368372298207953,152.01082721696412,407.15988147273885,409.76584739441984
4042,110639,27660,0.13883869382074776,148.79032400612877,387.20450816795153,397.2987529856825
