seed,n_train,n_test,R2,MAE,RMSE,MRE
42,107817,26955,0.19706120225891122,207.37092616796798,538.9794977875033,213.04622956885999
1042,107817,26955,0.19248135615949402,208.6509228345614,550.2154237211147,220.15893022652784
2042,107817,26955,0.20585040992061698,207.71286485409198,536.9506700096181,204.96804735695733
3042,107817,26955,0.20545196573527524,205.28545982599255,543.9729156295011,214.61184524380786
4042,107817,26955,0.19964056372962646,207.6209888477083,531.2445134648382,212.88199755142037
