seed,n_train,n_test,R2,MAE,RMSE,MRE
42,136974,34244,0.1823421854397408,272.440358858777,728.1765273977293,255.39200584276028
1042,136974,34244,0.1826598455577203,274.6717522836045,745.4811442497047,259.8619692343958
2042,136974,34244,0.17795525628721665,267.24327579379417,701.5091653406644,254.57021690710536
3042,136974,34244,0.17753950288143527,275.84520073442866,749.3113949498295,257.61375166212673
4042,136974,34244,0.17029147355998409,271.00194923946606,732.1022931102566,258.74466003358737
