seed,n_train,n_test,R2,MAE,RMSE,MRE
42,36684,9172,0.21981004155423112,122.96706493167682,317.3652310522078,249.8211392530267
1042,36684,9172,0.20481061861076655,124.08787020984775,322.34924490731646,250.4930731204699
2042,36684,9172,0.2152539499111179,125.15711519711131,320.8145102972957,251.16349444777768
3042,36684,9172,0.20411450793428065,124.13887444149329,343.5301899323777,259.1660768595546
4042,36684,9172,0.2119163358592333,125.95433072146096,340.33540445722537,246.44065476726507
