seed,n_train,n_test,R2,MAE,RMSE,MRE
42,8564,2142,0.2952679214937528,214.22255846545448,432.71034645803445,615.2427939798533
1042,8564,2142,0.30498963262819123,224.22678920078695,538.1791730769771,548.1648510053365
2042,8564,2142,0.2876071681867114,204.97272762240274,409.86620951604783,576.3710797679706
3042,8564,2142,0.30952340712945303,219.24046235139502,504.77619563399475,534.9297190675549
4042,8564,2142,0.30781719612498304,215.06940831164053,449.5703079379689,609.4982909351182
