seed,n_train,n_test,R2,MAE,RMSE,MRE
42,4820,1205,0.22963797639382766,156.08705221617438,369.25278995380455,1423.3237795883615
1042,4820,1205,0.19407482587488412,155.97306828157542,338.1773234929872,1577.9077595084154
2042,4820,1205,0.20221328042735442,158.36084792888067,327.1391949849243,1456.5207604961793
3042,4820,1205,0.23814084202752928,161.50137246239464,379.4445608876598,1343.3001813304238
4042,4820,1205,0.22655245499666432,165.05511288222735,419.74129894269896,1222.447448765928
