model,n_samples,frac_%
google/flan-t5-xl,112,21.21212121212121
llama-7b,80,15.151515151515152
google/flan-t5-xxl,72,13.636363636363635
bigcode/starcoder,64,12.121212121212121
llama-13b,64,12.121212121212121
EleutherAI/gpt-neox-20b,56,10.606060606060606
google/flan-ul2,40,7.575757575757576
bigscience/mt0-xxl,16,3.0303030303030303
ibm/mpt-7b-instruct2,16,3.0303030303030303
Salesforce/codegen2-16B,8,1.5151515151515151
