experiment,target,R2,ΔR2,MAE,ΔMAE,RMSE,ΔRMSE,MRE,ΔMRE
M1_no_interaction,throughput,0.5116974955258569,0.0,122.31899403749799,0.0,167.83123832663784,0.0,131.27804039353452,0.0
M2a_add_AIxNonAI,throughput,0.5405860278018066,0.028888532275949785,116.24527958354464,-6.073714453953343,162.7910119096573,-5.040226416980545,122.37308816575498,-8.904952227779546
M2b_add_AIxN_and_AIxW,throughput,0.5565888874410533,0.04489139191519642,113.0585461353836,-9.260447902114393,159.9306158514614,-7.900622475176448,122.27629538870224,-9.001745004832287
M3_full,throughput,0.6851738600356865,0.17347636450982962,95.37607433185272,-26.942919705645267,134.76084186426294,-33.0703964623749,81.44716583191726,-49.830874561617264
M1_no_interaction,median_nttft,0.41413457298246525,0.0,17.454918850533474,0.0,31.15496012300063,0.0,570.4137253405701,0.0
M2a_add_AIxNonAI,median_nttft,0.4317764824026392,0.017641909420173962,17.59940379592973,0.14448494539625756,30.682296803294967,-0.47266331970566355,619.5583447687713,49.14461942820128
M2b_add_AIxN_and_AIxW,median_nttft,0.43447803956852293,0.02034346658605768,17.676925805606928,0.22200695507345358,30.609272074480106,-0.5456880485205247,638.1616185012181,67.747893160648
M3_full,median_nttft,0.5483178671715307,0.1341832941890655,14.268071711801719,-3.186847138731755,27.355503980261194,-3.7994561427394373,399.2088376657343,-171.2048876748358
M1_no_interaction,median_itl,0.13536797068520112,0.0,17.115063964756672,0.0,54.74334674749379,0.0,42.679784991021876,0.0
M2a_add_AIxNonAI,median_itl,0.18820074541556886,0.05283277473036774,15.987973524330377,-1.1270904404262954,53.044457113881705,-1.6988896336120831,39.890178047604195,-2.789606943417681
M2b_add_AIxN_and_AIxW,median_itl,0.1882555096027645,0.05288753891756337,16.198000201661685,-0.9170637630949869,53.04266788732338,-1.700678860170406,41.50173877287646,-1.1780462181454183
M3_full,median_itl,0.1908660384372074,0.055498067752006275,15.915255221136553,-1.1998087436201192,52.957307947940386,-1.7860387995534026,39.865552991524424,-2.8142319994974514
