experiment,learner,cv,target,per_model_file,n_train,n_test,R2,MAE,RMSE,MRE(%),run_id,experiment_folder,learner_folder,model_tag
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_google_flan-ul2,36684,9172,0.1067282576229531,125.71866756845031,339.5869290763367,187.29917247788111,2026-01-13_114925,baseline_split80_rf,light,data_google_flan-ul2
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_ibm_mpt-7b-instruct2,15268,3818,0.1899655949316923,249.59390595743105,694.0244289003414,194.54724505519485,2026-01-13_114925,baseline_split80_rf,light,data_ibm_mpt-7b-instruct2
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_llama-13b,95432,23859,0.1183649229877124,223.11837753448307,608.9656566354897,168.9034317335976,2026-01-13_114925,baseline_split80_rf,light,data_llama-13b
baseline_split80,rf_light,split80_20,Target_throughput_tokens_per_sec,data_llama-7b,136974,34244,0.1131054849629731,277.0641266320545,758.3799874417414,168.57050251372988,2026-01-13_114925,baseline_split80_rf,light,data_llama-7b
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_EleutherAI_gpt-neox-20b,71775,17944,0.1123224754142632,204.10431857856892,550.365152529749,165.49732115511492,2026-01-13_114932,baseline_split80,nn,data_EleutherAI_gpt-neox-20b
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_Salesforce_codegen2-16B,4820,1205,0.1465054884585496,127.46604266588186,388.666150623,304.1567951987546,2026-01-13_114932,baseline_split80,nn,data_Salesforce_codegen2-16B
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_bigcode_starcoder,107817,26955,0.1096486630999071,224.9447124821728,567.5599362775691,183.502296379778,2026-01-13_114932,baseline_split80,nn,data_bigcode_starcoder
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_bigscience_mt0-xxl,8564,2142,0.1834193488748219,202.06010716267065,465.7842529291254,150.62884197486613,2026-01-13_114932,baseline_split80,nn,data_bigscience_mt0-xxl
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xl,110639,27660,0.1183686400248794,144.5940933663486,404.4139660634716,171.25037912931558,2026-01-13_114932,baseline_split80,nn,data_google_flan-t5-xl
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_google_flan-t5-xxl,62337,15585,0.1274142922055506,135.69819677474126,377.92461532150696,186.8171001665264,2026-01-13_114932,baseline_split80,nn,data_google_flan-t5-xxl
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_google_flan-ul2,36684,9172,0.1057248040575413,128.0531856267002,339.77761241182355,205.5690682951211,2026-01-13_114932,baseline_split80,nn,data_google_flan-ul2
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_ibm_mpt-7b-instruct2,15268,3818,0.1602556492923391,260.62670962221483,706.6373197733251,213.1052494110181,2026-01-13_114932,baseline_split80,nn,data_ibm_mpt-7b-instruct2
baseline_split80,nn,split80_20,Target_throughput_tokens_per_sec,data_llama-13b,95432,23859,0.1173081831350466,229.64516879874304,609.330504619692,180.01349039601436,2026-01-13_114932,baseline_split80,nn,data_llama-13b
