baseline_DaL,baseline_llm_pilot,baseline_lr,baseline_nn,baseline_rf_light,baseline_ridge,dcpl_gate_lr,dcpl_gate_nn,dcpl_gate_rf,dcpl_gate_ridge
402.8586756222668,147.73850310045722,258.9133085451715,136.18377663551462,100.75793817050574,258.91041781734884,109.02286400174094,104.04245272659838,102.90762772491004,109.02285581174058
271.49855660560405,150.44938243127794,265.4569497952037,126.61209739697377,103.73578407505686,265.45393487722373,116.1145935449232,111.36385588600606,105.00757637751592,116.11465470171744
265.1853036544142,136.17839824181283,248.62839498105015,123.19379141955946,98.69718801957346,248.62550124749575,112.46534385048663,110.18838323445476,100.26078398177351,112.4641413377861
364.544150898816,154.3839966261291,256.80790872024926,137.69732519124403,103.20482210693844,256.80501978943414,113.90033136962175,111.61577499588904,103.99972551454132,113.901005271076
351.5892941023456,146.97625365903127,264.1030050502974,128.40733278649105,102.91364395981977,264.09996246032847,114.31048130062456,119.82699690488346,103.74182793299586,114.310198347538
360.34341480120634,144.515975525208,245.3221287307896,122.28459344063756,101.52013063766054,245.31937073074533,110.8552587259354,104.82470634903392,101.30237735511368,110.85533938438068
336.47375692937015,146.66114696749102,254.41375819405303,143.24352332292446,102.3767847426238,254.4109186264932,112.28239537918616,102.32439384229,104.60739407194922,112.28240247902556
278.24439132262074,150.02387507034592,254.82586495986655,125.0906396240526,102.3057578611272,254.8229744466886,109.69903735172724,111.15976035881276,103.7169553506208,109.69927685008336
350.2844876425808,148.4930507549633,256.36855516586854,124.74496969082809,103.09148626495325,256.3656587150975,114.3671002867855,107.69686496813144,104.30127280907357,114.36709870224686
281.16684134177274,147.97438487420413,250.98477465405384,131.55996239325822,102.57763008791578,250.9819128362589,110.5622399473764,108.8815702179547,103.47672519816118,110.56284349049336
405.2053911127346,147.41995071680688,255.25846901155683,125.3577482934826,100.45612030740566,255.255576290262,112.19020394983391,90.71671049065462,102.65514905767536,112.1901742931208
366.9822700527926,148.00447963985383,256.68428279037283,129.23306035444318,104.592037583392,256.681339626361,119.28722320085336,105.01222051116568,107.5357329193864,119.28702818461588
317.25445297668824,153.4185014056198,262.3185479187376,130.08830841187216,102.45030709823526,262.3155399878392,113.961717764897,96.5217010845788,104.06132240099517,113.96169139257412
394.63546989931854,148.0436748660303,259.02876411587556,119.48127538632684,102.61655310313876,259.0257709068119,110.25796087743171,98.4156662385318,103.4173323057718,110.25798224265496
331.5080218979655,145.37930333076957,250.3097646711633,125.39519322387814,101.64139683773384,250.30692744189992,112.1512598044178,108.42558844474696,103.0673006657208,112.15126251138209
305.63898690698244,143.7497732957372,249.12854716296184,129.56488537110246,98.58553621492392,249.1256919892087,109.83716501098807,108.38253054146809,100.01175690596168,109.83717082582108
294.4273865268598,143.45915793376014,256.9538268953762,118.22469276640987,101.41798119057552,256.9508296389042,109.7912683196635,106.2814324586703,102.31708653401346,109.79154811025172
311.14383510228197,146.5633651799668,254.63974584634343,118.11335921596906,101.14043412946498,254.63683751404415,111.49851143414038,95.83021682197692,102.76102209482536,111.49851863677873
414.0583908322229,145.48384177476953,254.06267387517553,112.55127874709888,101.9612919846184,254.0597674243284,112.456205857673,101.0214840360606,102.43839856700056,112.45634212565672
360.8052575681419,148.19061638535135,259.1907789520404,137.20849712025858,103.68771873812776,259.18780687201377,115.4016621135438,104.7915672045712,104.49887971523448,115.4016874513074
324.1757630931383,142.761856216912,256.0835803193995,123.4790028827991,101.14373409248856,256.08065711776504,110.48306635763711,108.18779828816378,102.41954303705025,110.4832368399198
435.4047762778331,151.0038620242444,251.48896369230064,121.10733373892477,100.86523735855816,251.48612510637884,110.70844984375545,105.7955378868588,103.02521259355495,110.70890705791844
306.22835276539945,141.73694068526302,252.361152879725,123.74233402723232,99.96618730460224,252.35827820570344,110.62287637432222,129.4906227698956,101.83458927875212,110.62283911872696
346.72953372192734,147.78078670679486,253.65625673136827,123.34890987143297,102.16827936888812,253.65341230433867,114.11554110171944,112.07996924005155,103.66071145723792,114.1154174362812
394.0717367244598,154.30571159546272,256.904470392923,124.59639639816967,98.6888523828519,256.9015665757749,106.76548049595334,98.11936207287148,99.48857185958532,106.76554510463876
361.02157872128663,144.91657991356544,254.5087634390146,126.30586985049152,101.28083086036476,254.50586662200467,114.14503483827345,102.7830308794368,102.37245322714108,114.14479770994711
404.5761887183195,145.10839912381823,258.1590057876733,123.1246786592806,102.57930678825096,258.15604633093625,116.68499566436,115.3499953504759,106.2446827026054,116.68517302568266
305.39277299540254,147.1737746807898,256.7246704222196,119.40502347763685,101.54517716714643,256.7217507751278,111.85707152407414,103.4529798141624,103.09476980370222,111.8569522016342
324.40172976280917,146.4450602772339,256.037449789849,126.7827123322439,102.30272055062392,256.03453923271593,112.46880510036765,121.78146735698054,104.3449533144491,112.46842937236536
265.794836986769,149.6078068707061,250.75894144774273,128.37476764294112,100.55922418359624,250.7560843989036,112.56716266352768,110.38203682163534,101.37478371434598,112.56707229431012
