"Method","Group"
"baseline_DaL",1
"baseline_llm_pilot",2
"baseline_lr",2
"baseline_nn",2
"baseline_rf_light",3
"baseline_ridge",3
"dcpl_gate_lr",3
"dcpl_gate_nn",3
"dcpl_gate_rf",3
"dcpl_gate_ridge",4
