LLM,Metric,Method,Rank,Mean,Std,IQR,n_runs
EleutherAI_gpt-neox-20b,R2,DaL,8,0.17388890949432564,0.053230605497574385,0.026269339789466245,28
EleutherAI_gpt-neox-20b,R2,llm_pilot,6,0.47744906986034835,0.019692974221898665,0.029978799602845163,30
EleutherAI_gpt-neox-20b,R2,lr,6,0.3113091548053181,0.008133349002713845,0.012009208510302016,30
EleutherAI_gpt-neox-20b,R2,nn,5,0.4382394415492914,0.020586554679667107,0.02605739291530529,30
EleutherAI_gpt-neox-20b,R2,rf,4,0.5810585330506056,0.028950734913622652,0.032525060003449346,30
EleutherAI_gpt-neox-20b,R2,ridge,7,0.31130916688717397,0.00813326385991193,0.012008935728737569,30
EleutherAI_gpt-neox-20b,R2,dcpl_gate_lr,2,0.5992903948176808,0.02227010738751168,0.03114899296160445,30
EleutherAI_gpt-neox-20b,R2,dcpl_gate_nn,3,0.6062199347921136,0.021152062068029765,0.02938845923847533,30
EleutherAI_gpt-neox-20b,R2,dcpl_gate_rf,3,0.5739847896606167,0.02455209982325648,0.03945687374467821,30
EleutherAI_gpt-neox-20b,R2,dcpl_gate_ridge,1,0.5992904001502846,0.022270106431385665,0.031148995247062383,30
EleutherAI_gpt-neox-20b,MAE,DaL,7,211.05010386622604,12.06969034610145,15.445877760986377,28
EleutherAI_gpt-neox-20b,MAE,llm_pilot,6,152.59652505852722,2.172766365252706,3.077965268091134,30
EleutherAI_gpt-neox-20b,MAE,lr,6,196.36641086028163,2.113382417956123,3.605618812714539,30
EleutherAI_gpt-neox-20b,MAE,nn,5,158.77275237678,3.762827024004059,4.812628084294772,30
EleutherAI_gpt-neox-20b,MAE,rf,2,130.12104833675355,1.5960196237181656,1.8871242977959923,30
EleutherAI_gpt-neox-20b,MAE,ridge,4,196.36508933166263,2.113383337109962,3.6056701018459023,30
EleutherAI_gpt-neox-20b,MAE,dcpl_gate_lr,4,130.15208261636508,1.6916473659933635,2.5128383206368596,30
EleutherAI_gpt-neox-20b,MAE,dcpl_gate_nn,4,126.70447852232525,2.2334711421647473,3.031370128239857,30
EleutherAI_gpt-neox-20b,MAE,dcpl_gate_rf,1,129.37313486967133,1.5266624226402332,2.2417105741191676,30
EleutherAI_gpt-neox-20b,MAE,dcpl_gate_ridge,3,130.15209701088583,1.6916280067178298,2.512905964746608,30
EleutherAI_gpt-neox-20b,RMSE,DaL,8,536.4741370606556,16.44081446351126,8.554297748451404,28
EleutherAI_gpt-neox-20b,RMSE,llm_pilot,6,425.7326040893024,13.196093692362522,18.707232802042768,30
EleutherAI_gpt-neox-20b,RMSE,lr,6,488.84718568615864,13.214088562836775,17.513697221710515,30
EleutherAI_gpt-neox-20b,RMSE,nn,5,441.4414595112923,14.260498188125405,19.749786330182985,30
EleutherAI_gpt-neox-20b,RMSE,rf,4,380.8884205028598,11.848960437964996,12.554256097330267,30
EleutherAI_gpt-neox-20b,RMSE,ridge,7,488.8471837123986,13.214160509286494,17.51377459738046,30
EleutherAI_gpt-neox-20b,RMSE,dcpl_gate_lr,2,372.65035808399006,11.25122267239061,15.009031395862223,30
EleutherAI_gpt-neox-20b,RMSE,dcpl_gate_nn,3,369.4245708848893,10.872624358809796,13.617819396327548,30
EleutherAI_gpt-neox-20b,RMSE,dcpl_gate_rf,3,384.14531755911054,9.281393332274675,7.893611190913703,30
EleutherAI_gpt-neox-20b,RMSE,dcpl_gate_ridge,1,372.6503555900485,11.251221717421744,15.009029721740376,30
EleutherAI_gpt-neox-20b,MRE,DaL,8,511.4232416703979,73.47971984601328,121.65158750302072,28
EleutherAI_gpt-neox-20b,MRE,llm_pilot,7,195.3588516232482,13.205302118545124,16.391219484871215,30
EleutherAI_gpt-neox-20b,MRE,lr,7,399.1649491189504,13.699162449502419,16.223500330367813,30
EleutherAI_gpt-neox-20b,MRE,nn,3,153.49499084093424,16.11655251995196,19.006558059439584,30
EleutherAI_gpt-neox-20b,MRE,rf,6,122.67064273778178,2.758410022264281,4.183696103542914,30
EleutherAI_gpt-neox-20b,MRE,ridge,6,399.15704127678214,13.69888680701851,16.223240703090482,30
EleutherAI_gpt-neox-20b,MRE,dcpl_gate_lr,4,176.3270750128545,8.012750403575795,7.991414966140127,30
EleutherAI_gpt-neox-20b,MRE,dcpl_gate_nn,2,138.37505044894678,16.98567687820807,28.48603142307175,30
EleutherAI_gpt-neox-20b,MRE,dcpl_gate_rf,1,123.25463891376742,2.593138208714766,3.8968009698551214,30
EleutherAI_gpt-neox-20b,MRE,dcpl_gate_ridge,5,176.32722253283717,8.012475742635795,7.990475344656431,30
Salesforce_codegen2-16B,R2,DaL,5,0.1311870825167822,0.04709923929217009,0.0182359326433518,29
Salesforce_codegen2-16B,R2,llm_pilot,3,0.3611807394177967,0.10485550454728226,0.13047182759578158,30
