per_model_file,target,cv,learner,framework,R2,MAE,RMSE,MRE
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.29302996592671376,192.61373460987903,495.2846982219354,342.13308304094994
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.5381439663892744,151.5473746544266,400.2213394704548,208.8576941986039
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.5357645037700204,149.15036089704714,401.20956788069293,169.6052533744296
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.2930300001106417,192.61312783010334,495.284689079764,342.1292925403646
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.3248948731867631,181.83786041159445,483.9836383857317,219.0723300569086
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.5444293285678364,149.0138507045063,397.50695252251734,184.13220584586105
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.5357476392662918,149.1771923215919,401.2169563600104,169.7301996555063
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.3248949559546455,181.8376932172314,483.98360954845145,219.0700187641229
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.13663306772947764,158.94645443263423,370.11225351744514,978.9073424540491
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.19585017661741938,153.64690351345482,356.96132952672696,1236.420016672248
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.19885395630138789,151.52180454415432,354.91227254925815,952.3644647714966
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.13663886581913812,158.94381969063383,370.11147090141105,979.0783031562567
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.1366330677294776,158.94645443263423,370.11225351744514,978.907342454049
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.2023978250449616,158.87097108325685,355.5552807500983,1256.8764417591608
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.1989731129112606,151.50919717139678,354.88240977897914,952.3171989612448
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,split80_20,ridge,dice,0.1366334825795958,158.94626605579157,370.1121974796157,978.919556021331
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,lr,baseline,0.30666651509618403,200.4841234144368,513.8585425345724,230.80605933537666
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,nn,baseline,0.5707774855581645,150.37718851004294,404.26441993425266,139.5421839890907
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,rf_light,baseline,0.574347425685453,146.59216446006255,402.59748169506724,114.6087627318968
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,ridge,baseline,0.3066665165935623,200.4836214042353,513.858543758902,230.8042804176149
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,lr,dice,0.349504526298624,183.96312009650373,497.7244957195988,164.4435921246907
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,nn,dice,0.5784538504825717,147.4870914674385,400.65748742737634,126.511205226481
data_bigcode_starcoder,Target_throughput_tokens_per_sec,split80_20,rf_light,dice,0.5743461642841976,146.59590373508408,402.5980927064654,114.6348260887064
