model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔR2_improve_mean,ΔR2_improve_std,ΔR2_improve_median,ΔR2_improve_min,ΔR2_improve_max,ΔRMSE_improve_mean,ΔRMSE_improve_std,ΔRMSE_improve_median,ΔRMSE_improve_min,ΔRMSE_improve_max
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.5853448832587415,0.02225649184692667,0.5833830439819649,0.52996335268203,0.6197585932713245,379.1020090826834,11.494626825229144,381.2024495986707,352.8660273389552,403.86542963816026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.585333917084775,0.02225221142057559,0.583334048808899,0.5299752893577623,0.619755323493015,379.1072163890643,11.497648041412113,381.20848300375894,352.8695223610985,403.8823316440177,-1.0966173966400931e-05,4.990002680626342e-05,-4.26405371661831e-06,-0.0001524031240586,0.0001480127354589,0.00520730638091133,0.022560549809913576,0.00188536297022775,-0.0634468892505992,0.0711159596016273,-1.0966173966401687e-05,4.9900026806274357e-05,-4.26405371661831e-06,-0.0001524031240586199,0.00014801273545894666,-0.005207306380913224,0.022560549809920286,-0.0018853629702562102,-0.07111595960162731,0.06344688925065611
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.5856619832228719,0.021650890106902784,0.5844822883268241,0.5323495899975274,0.6194256778534182,378.9573014643159,11.036658001690236,380.8222129919877,354.05429810147433,402.9114970836745,0.00031709996413046063,0.00189735187717754,0.0005600718527814001,-0.005563733097486,0.004467893516067,-0.14470761836749943,0.8772926523593376,-0.2590522843784129,-2.042103031675765,2.5943531920373744,0.00031709996413048134,0.0018973518771775732,0.0005600718527814519,-0.005563733097486034,0.004467893516067023,0.14470761836749566,0.8772926523593355,0.25905228437838446,-2.5943531920373744,2.042103031675765
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.5992034657442353,0.023165861940732703,0.5986308932937532,0.5384846909281505,0.6359267443296575,372.6777586968501,11.432999650256944,373.5226227552939,346.6049334722369,398.41501577118447,0.013858582485493895,0.0039158898769654366,0.01432813035588,0.0039620637985269,0.0210044907456912,-6.424250385833318,1.9028485910584807,-6.565370207776624,-9.92185691131482,-1.8000827097774843,0.013858582485493938,0.003915889876965443,0.014328130355880042,0.003962063798526927,0.021004490745691218,6.42425038583331,1.9028485910584763,6.565370207776624,1.8000827097774845,9.921856911314762
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.3167529832700396,0.09571838776622052,0.33608342716538153,-0.0139977610497794,0.429071029471,328.1911809679465,38.582205902674225,325.9878655613933,272.0838210614934,406.0786884218698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.31461848853582197,0.0969000585807267,0.3315617959783182,-0.0186508050070237,0.4294362752529588,328.6861016132706,38.74895687904831,325.93917108847836,272.7233885492161,406.009512061101,-0.0021344947342176275,0.009605392350919532,8.808824942196924e-06,-0.0520053514906997,0.0010774757048794,0.494920645324108,2.3584770693252213,-0.002185576481537,-0.290688130363776,12.82244059661923,-0.002134494734217618,0.00960539235091955,8.808824942169169e-06,-0.05200535149069979,0.001077475704879427,-0.4949206453241118,2.3584770693252195,0.002185576481508633,-12.82244059661923,0.29068813036377605
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.3194798574276422,0.09772772548245486,0.34658345619093256,-0.0143347525044894,0.4410109292575469,327.5343276250347,39.07933939008754,325.8715710397687,264.6314355867517,401.9088735723545,0.0027268741576025766,0.01289815460482849,0.00163370831935935,-0.0399020397210497,0.0355152205175691,-0.6568533429118057,3.129432985779179,-0.4561357553281482,-7.452385474741675,9.879355861052034,0.0027268741576025766,0.012898154604828526,0.0016337083193593838,-0.039902039721049776,0.035515220517569224,0.6568533429118039,3.129432985779179,0.4561357553281482,-9.879355861052034,7.452385474741675
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.3191445012641278,0.09825731719917974,0.34595010598415976,-0.0087983234884971,0.4375898665867073,327.64309778086215,39.43544008730996,326.82049351931744,263.12589294585734,402.8722657322814,0.0023915179940881765,0.015261994342789364,0.00124062304956725,-0.0414134684091644,0.0425703111507451,-0.5480831870843588,3.6644695861949197,-0.32451229417276295,-8.957928115636037,10.248204225142215,0.0023915179940881778,0.015261994342789423,0.0012406230495673187,-0.04141346840916449,0.04257031115074522,0.5480831870843569,3.6644695861949224,0.32451229417276295,-10.248204225142217,8.957928115636037
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6015677036568234,0.015272819092480013,0.5993898943759246,0.5787995782842843,0.6434091625727756,389.4264599358138,10.886683832003138,390.8161810391128,360.4164211665177,414.5887987323901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6015603647599005,0.015271166351995746,0.5994080000877121,0.5787981656569865,0.6434192301362776,389.43003684359604,10.885164782782564,390.81551492039125,360.41133334535465,414.58815505923934,-7.338896922890468e-06,2.820243070206078e-05,-2.8162059865777245e-06,-0.0001108264570993,5.6353842645018304e-05,0.0035769077822616602,0.013546070596009398,0.0013770439269933,-0.027939021594534,0.0518611535720197,-7.33889692289269e-06,2.8202430702069213e-05,-2.8162059865777245e-06,-0.00011082645709936667,5.6353842645018304e-05,-0.003576907782246508,0.013546070596002819,-0.0013770439269933377,-0.0518611535720197,0.027939021594534097
