model_n_parameters,model_n_layers,model_n_heads,model_n_positions,model_vocabulary_size,model_relative_attention_max_distance,model_relative_attention_n_buckets,model_is_flash_attention,model_is_encoder_decoder,model_type_codegen,model_type_gpt_bigcode,model_type_gpt_neox,model_type_llama,model_type_mpt,model_type_mt5,model_type_t5,model_torch_dtype_bfloat16,model_torch_dtype_float16,model_torch_dtype_float32,gpu_n_cuda_cores,gpu_n_tensor_cores,gpu_n_rt_cores,gpu_n_sms,gpu_n_rops,gpu_n_tmus,gpu_tflops_cuda_fp32,gpu_tflops_cuda_fp64,gpu_tflops_cuda_mixed,gpu_tflops_tc_fp16,gpu_tflops_tc_bf16,gpu_tflops_tc_fp32,gpu_tflops_tc_tf32,gpu_tflops_tc_fp64,gpu_memory_capacity_gb,gpu_memory_capacity_gb_total,gpu_memory_bandwidth,gpu_system_interface_gen,gpu_compute_capability,gpu_is_sxm,gpu_is_nvlink,gpu_n_gpus,gpu_architecture_Ampere,gpu_architecture_Hopper,gpu_architecture_Turing,gpu_architecture_Volta,num_users,median_nttft
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,80,1555,4,8.0,0,0,2,1,0,0,0,8,2.3294117647058825
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,80,1555,4,8.0,0,0,2,1,0,0,0,16,3.655172413793104
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,80,1555,4,8.0,0,0,2,1,0,0,0,32,6.415851775604735
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,80,1555,4,8.0,0,0,2,1,0,0,0,64,11.98
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,80,1555,4,8.0,0,0,2,1,0,0,0,128,116.47368421052632
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,1,0.4352941176470588
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,2,0.5833333333333334
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,4,0.9659090909090908
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,8,1.35
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,16,2.0791592128801435
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,32,3.280449438202247
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,64,5.806818181818182
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,16896,528,0,132,24,528,67.0,34.0,-1.0,1979.0,1979.0,989.0,-1.0,67.0,80,160,3350,5,9.0,1,1,2,0,1,0,0,128,12.0561797752809
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,1,0.7388833992094861
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,2,0.7666666666666667
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,4,1.236068895643364
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,8,2.0
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,16,3.0
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,32,5.141304347826087
20.6,44,64,2048.0,50432,-1.0,-1.0,1,0,0,0,1,0,0,0,0,0,1,0,6912,432,0,108,160,432,19.5,9.7,-1.0,312.0,312.0,-1.0,156.0,19.5,40,160,1555,4,8.0,0,0,4,1,0,0,0,64,9.269015047879616
