method_group,learner,n_runs,R2_mean,R2_std,MRE_mean,MRE_std
Baseline,llm_pilot,5,0.506964209727504,0.003009838908766422,281.77515973466086,7.1555957010820705
Baseline,lr,5,0.3248040183574585,0.0027110885999075632,688.145265684615,8.857247862422001
Baseline,nn,5,0.9219915261640649,0.0027983725856721305,75.9188120401731,5.561406579703241
Baseline,rf_light,5,0.8786018014688171,0.0017447949808982344,79.92248740876809,0.4726662034726952
Baseline,ridge,5,0.324804011147795,0.0027110843980029677,688.1435830390874,8.857224581216549
DCPL,DCPL,5,0.9022501163705565,0.0018366907663608936,118.47713407076576,0.6613207838692544
