ablation,r2,delta_vs_full
None (Full),0.8376989561679757,0.0
Drop AI,0.8013352652915016,-0.036363690876474175
Drop NonAI,0.7837202430405175,-0.05397871312745828
Drop Workload,0.021747862504265414,-0.8159510936637103
