concurrency_bin,A10,A100,H100,T4,V100
"(-0.001, 13.0]",16.772809333954896,27.083874024750457,48.217615385962496,13.752748105228207,14.047489360289429
"(13.0, 35.0]",37.18476480037127,46.85387876787038,62.79431564923305,33.68413961233766,40.04118124145289
"(35.0, 78.0]",76.3138399468395,83.20603267223122,94.07853122383442,87.65491491126616,84.52021411865334
"(78.0, 700.0]",170.72962524847256,185.54864546456207,206.9628492014522,164.8687752407161,161.6767669969446
