sequence_length_bin,A10,A100,H100,T4,V100
"(5.999, 16.0]",14.909476017352656,24.77671809083421,46.47544814115379,11.414168257176904,10.74352493411469
"(16.0, 67.0]",29.739754840330978,49.5281850750352,89.09562620262473,23.5652831812356,23.52325574405234
"(67.0, 88.0]",42.142449602884824,63.60420282437997,101.46331564554572,28.80087820524004,39.71013737245575
"(88.0, 161.0]",52.90961344375087,82.11468947430289,124.7138161169152,41.66196164881852,47.46421869778123
"(161.0, 874.0]",137.31824500199446,243.90537181788977,388.42894952696383,106.1751934257564,122.579748761965
