per_model_file,learner,cv,target,n_runs,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MRE_mean,MRE_std
data_EleutherAI_gpt-neox-20b,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.17897150550364477,0.003999357542539893,203.99681179409563,0.7128982917337593,532.2391851116674,9.251753969328947,269.4679523282604,4.408893253814202
data_Salesforce_codegen2-16B,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.21812387594405197,0.01894596424127075,159.3954907542505,3.8792810969936538,366.75103365241495,36.60910852742939,1404.6999859378616,132.30560693189392
data_bigcode_starcoder,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.20009709956078478,0.0056833048657936045,207.32823250606444,1.2407559182849124,540.2726041225151,7.189675896491079,213.13340998951472,5.438006550261695
data_bigscience_mt0-xxl,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.30104106511261824,0.009317403566341153,215.54638919033596,7.120004886948178,467.0204465246046,53.00320289064537,576.8413469511668,35.77811568220555
data_google_flan-t5-xl,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.1404986958655757,0.004535709647255956,150.63811499402053,1.164382390773104,404.9105487539764,12.061310479200056,406.35210566539513,7.080286753322085
data_google_flan-t5-xxl,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.14154227300465838,0.007344833651459887,145.52300263855963,1.4831335200032418,374.90876185425293,12.466595699972455,432.8043025807935,7.29974612129237
data_google_flan-ul2,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.2111810907739259,0.006747352574657781,124.46105110031803,1.1390177459504685,328.8789161292846,12.105237922130673,251.41688768961876,4.697788880288156
data_ibm_mpt-7b-instruct2,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.1572036816288414,0.017075007559327504,316.6400645330144,7.783632853598109,725.8627705158299,28.94629585485674,780.1951220351586,30.892561205156174
data_llama-13b,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.18700808035069022,0.007597295106372304,218.3813646751133,2.1501607657623554,577.4302465259823,13.785008504418155,258.36433509398813,2.82533958953571
data_llama-7b,roofline_lr,split80_20,Target_throughput_tokens_per_sec,5,0.1781576527452194,0.005001997164808047,272.2405073820141,3.3708699310411916,731.3161050096368,18.86403647449806,257.23652073599516,2.226049102650473
