Workload_smpnum,Workload_reqnum,Workload_num_users,Workload_requests,records,NonAI_n_gpus,Workload_n_input_tokens,Workload_n_output_tokens,AI_model_is_flash_attention,AI_model_n_parameters,AI_model_is_encoder_decoder,AI_model_n_positions,AI_model_n_heads,AI_model_n_layers,AI_model_relative_attention_max_distance,AI_model_relative_attention_n_buckets,AI_model_vocabulary_size,NonAI_gpu_n_tensor_cores,NonAI_gpu_n_rt_cores,NonAI_gpu_n_cuda_cores,NonAI_gpu_n_sms,NonAI_gpu_n_rops,NonAI_gpu_n_tmus,NonAI_gpu_tflops_cuda_mixed,NonAI_gpu_tflops_cuda_fp32,NonAI_gpu_tflops_cuda_fp64,NonAI_gpu_tflops_tc_bf16,NonAI_gpu_tflops_tc_fp16,NonAI_gpu_tflops_tc_fp32,NonAI_gpu_tflops_tc_tf32,NonAI_gpu_tflops_tc_fp64,NonAI_gpu_memory_capacity_gb,NonAI_gpu_memory_bandwidth,NonAI_gpu_system_interface_gen,NonAI_gpu_compute_capability,NonAI_gpu_is_sxm,NonAI_gpu_is_nvlink,NonAI_gpu_n_gpus,NonAI_gpu_memory_capacity_gb_total,Workload_sequence_length,AI_model_torch_dtype_num,Target_latency_ms
291,49,32,1,1.0,2,79.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,99.0,1,2028.0
625,53,64,1,1.0,4,364.0,2.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,366.0,0,731.0
266,62,16,1,1.0,1,9.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,10.0,2,486.0
622,12,128,1,1.0,2,20.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,21.0,2,6827.0
429,18,32,1,1.0,4,244.0,50.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,294.0,1,1401.0
650,58,8,1,1.0,2,13.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,2,32,14.0,1,114.0
777,40,32,1,1.0,2,9.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,10.0,2,964.0
559,5,16,1,1.0,2,86.0,20.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,106.0,1,1302.0
92,7,64,1,1.0,2,85.0,20.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,105.0,2,4825.0
803,13,32,1,1.0,1,20.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,21.0,1,369.0
171,46,32,1,1.0,1,6.0,1.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,7.0,0,818.0
195,17,64,1,1.0,1,286.0,64.0,0,13.0,1,2048.0,64,24,128.0,32.0,250112,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,350.0,2,11967.0
620,221,4,1,1.0,2,100.0,8.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,108.0,1,182.0
46,195,2,1,1.0,1,79.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,99.0,1,308.0
104,4,128,1,1.0,1,93.0,20.0,0,16.0,0,2048.0,24,34,0.0,0.0,51200,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,113.0,2,17524.0
684,47,32,1,1.0,1,100.0,20.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,120.0,2,1020.0
569,187,32,1,1.0,4,16.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,17.0,1,56.0
261,145,2,1,1.0,1,874.0,2.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,876.0,1,56.0
755,53,32,1,1.0,4,286.0,25.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,311.0,0,1623.0
84,3,64,1,1.0,1,26.0,1.0,0,16.0,0,2048.0,24,34,0.0,0.0,51200,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,27.0,2,5954.0
395,27,128,1,1.0,4,88.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,108.0,2,2758.0
231,56,8,1,1.0,4,13.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,14.0,2,497.0
358,5,64,1,1.0,1,216.0,3.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,219.0,2,916.0
691,10,128,1,1.0,2,47.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,2,32,48.0,2,7348.0
869,76,16,1,1.0,1,244.0,12.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,256.0,1,528.0
443,23,64,1,1.0,4,19.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,20.0,2,1238.0
868,129,32,1,1.0,2,85.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,105.0,2,1051.0
616,101,64,1,1.0,2,244.0,381.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,625.0,1,19054.0
900,152,8,1,1.0,2,67.0,6.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,73.0,2,170.0
890,2,128,1,1.0,1,93.0,20.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,113.0,2,10796.0
237,21,32,1,1.0,4,87.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,107.0,2,1267.0
337,9,128,1,1.0,4,12.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,13.0,2,592.0
134,4,128,1,1.0,2,86.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,106.0,1,4071.0
127,52,16,1,1.0,2,100.0,5.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,105.0,2,510.0
758,48,128,1,1.0,2,84.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,104.0,2,2786.0
658,66,64,1,1.0,1,11.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,12.0,2,497.0
298,12,32,1,1.0,1,17.0,1.0,0,16.0,0,2048.0,24,34,0.0,0.0,51200,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,18.0,2,1067.0
510,51,64,1,1.0,4,79.0,2.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,81.0,2,398.0
397,98,16,1,1.0,2,67.0,2.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,69.0,2,354.0
566,11,128,1,1.0,4,109.0,36.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,145.0,2,7567.0
203,265,16,1,1.0,2,364.0,13.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,377.0,1,299.0
25,6,64,1,1.0,2,12.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,13.0,2,1557.0
159,88,2,1,1.0,4,31.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,32.0,2,91.0
129,3,32,1,1.0,4,67.0,381.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,448.0,2,56236.0
208,78,16,1,1.0,2,96.0,20.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,116.0,2,641.0
323,81,8,1,1.0,4,84.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,104.0,2,1097.0
838,40,64,1,1.0,4,90.0,20.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,110.0,2,1693.0
28,355,1,1,1.0,4,86.0,20.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,106.0,1,300.0
899,5,128,1,1.0,4,100.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,120.0,1,1888.0
252,6,32,1,1.0,2,182.0,22.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,204.0,0,2060.0
849,12,32,1,1.0,4,10.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,11.0,1,247.0
673,0,128,1,1.0,4,93.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,113.0,2,16952.0
173,18,128,1,1.0,2,96.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,116.0,2,2976.0
235,40,4,1,1.0,4,161.0,12.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,173.0,2,598.0
189,162,2,1,1.0,1,88.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,1,16,108.0,2,527.0
79,25,32,1,1.0,2,12.0,1.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,13.0,0,437.0
756,2,128,1,1.0,4,19.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,20.0,1,6829.0
810,101,64,1,1.0,4,91.0,20.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,111.0,1,1136.0
451,18,64,1,1.0,1,286.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,1,24,287.0,1,1865.0
319,89,32,1,1.0,4,31.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,32.0,1,102.0
597,3,4,1,1.0,2,39.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,2,32,40.0,2,145.0
661,4,8,1,1.0,2,161.0,10.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,171.0,1,299.0
891,149,16,1,1.0,2,52.0,2.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,54.0,1,173.0
14,1,128,1,1.0,1,90.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,1,24,110.0,2,10823.0
189,5,128,1,1.0,2,88.0,20.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,108.0,1,2788.0
333,68,64,1,1.0,2,563.0,11.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,574.0,2,856.0
558,52,64,1,1.0,2,58.0,20.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,78.0,2,1749.0
691,7,64,1,1.0,4,47.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,48.0,1,327.0
757,58,64,1,1.0,4,20.0,1.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,21.0,2,575.0
264,3,128,1,1.0,4,86.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,106.0,1,3489.0
39,27,64,1,1.0,4,8.0,1.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,9.0,0,516.0
318,103,32,1,1.0,2,6.0,6.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,2,80,12.0,1,397.0
653,97,8,1,1.0,1,96.0,6.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,1,40,102.0,2,414.0
320,24,64,1,1.0,1,109.0,36.0,0,13.0,1,2048.0,64,24,128.0,32.0,250112,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,145.0,2,9650.0
507,0,32,1,1.0,4,83.0,20.0,0,20.0,1,512.0,16,32,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,103.0,0,1917.0
593,3,16,1,1.0,4,335.0,9.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,344.0,2,492.0
231,115,8,1,1.0,4,13.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,14.0,1,76.0
857,341,2,1,1.0,2,18.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,19.0,1,42.0
28,355,1,1,1.0,4,86.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,106.0,1,252.0
502,10,16,1,1.0,4,19.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,20.0,1,258.0
902,111,64,1,1.0,4,335.0,10.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,345.0,1,433.0
438,37,64,1,1.0,4,9.0,1.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,10.0,1,792.0
232,45,32,1,1.0,2,93.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,113.0,2,1023.0
62,165,4,1,1.0,2,91.0,20.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,111.0,1,366.0
679,272,4,1,1.0,1,15.0,1.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,16.0,1,72.0
549,46,64,1,1.0,2,93.0,20.0,0,11.0,1,2048.0,64,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,113.0,2,2769.0
448,36,32,1,1.0,4,335.0,12.0,1,15.5,0,8192.0,48,40,0.0,0.0,49152,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,4,64,347.0,2,2398.0
572,19,1,1,1.0,4,16.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,17.0,1,48.0
143,15,32,1,1.0,1,6.0,12.0,0,6.7,0,2048.0,32,32,0.0,0.0,50432,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,18.0,0,1342.0
754,58,64,1,1.0,2,88.0,7.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,2,160,95.0,1,455.0
500,53,1,1,1.0,4,335.0,11.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,346.0,1,284.0
226,41,2,1,1.0,2,216.0,47.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,263.0,1,2736.0
124,120,32,1,1.0,1,83.0,2.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,85.0,1,489.0
240,199,16,1,1.0,4,83.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,103.0,1,496.0
458,13,128,1,1.0,4,11.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,12.0,2,5007.0
653,88,2,1,1.0,4,96.0,6.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,102.0,1,110.0
836,42,8,1,1.0,1,11.0,1.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,1,16,12.0,2,229.0
284,115,16,1,1.0,4,90.0,31.0,1,13.0,0,2048.0,40,40,0.0,0.0,32000,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,121.0,1,822.0
341,25,64,1,1.0,4,87.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,4,64,107.0,2,4569.0
110,4,128,1,1.0,2,96.0,4.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,320,40,2560,40,64,160,65.0,8.1,0.25,-1.0,-1.0,-1.0,-1.0,-1.0,16,300,3,7.5,0,0,2,32,100.0,2,14253.0
905,8,128,1,1.0,4,11.0,1.0,1,20.6,0,2048.0,64,44,0.0,0.0,50432,432,0,6912,108,160,432,-1.0,19.5,9.7,312.0,312.0,-1.0,156.0,19.5,40,1555,4,8.0,0,0,4,160,12.0,1,1918.0
448,72,16,1,1.0,4,335.0,12.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,4,320,347.0,2,603.0
872,10,64,1,1.0,2,91.0,20.0,1,7.0,0,2048.0,32,32,0.0,0.0,32000,288,72,9216,72,96,288,-1.0,31.2,0.97,125.0,125.0,62.5,-1.0,-1.0,24,600,4,8.6,0,0,2,48,111.0,1,3531.0
489,173,1,1,1.0,1,79.0,30.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,640,0,5120,80,128,320,120.0,14.0,7.0,-1.0,112.0,-1.0,-1.0,-1.0,16,900,3,7.0,0,0,1,16,109.0,2,743.0
62,106,4,1,1.0,1,91.0,20.0,0,3.0,1,512.0,32,24,128.0,32.0,32128,528,0,16896,132,24,528,-1.0,67.0,34.0,1979.0,1979.0,989.0,-1.0,67.0,80,3350,5,9.0,1,1,1,80,111.0,2,441.0
