umap_x,umap_y,tsne_x,tsne_y,median_nttft,median_nttft_oof_pred,median_nttft_resid
9.631512,4.983299,-34.941372,3.1876843,0.5294117647058824,0.45126035926273517,0.07815140544314719
9.662702,4.987631,-34.94591,3.191953,0.7126436781609196,0.5798664425272487,0.13277723563367083
9.69169,4.9576793,-34.959133,3.2053742,1.2261904761904765,1.0251742826287913,0.2010161935616852
9.67716,4.9729686,-34.988445,3.2334843,1.8995412844036696,1.3853099509258533,0.5142313334778164
9.666397,4.9828606,-35.052383,3.2935421,3.071357989836251,2.750642725068882,0.3207152647673692
9.658752,4.994043,-35.181416,3.3912244,5.244186046511628,19.24665627570649,-14.00247022919486
9.634988,5.0214825,-35.401474,3.5358508,10.436518987341772,28.47412636131753,-18.03760737397576
9.645456,5.018693,-35.773857,3.7585688,57.29032258064516,21.33851132209635,35.951811258548815
30.276173,8.499633,18.081568,-6.2444315,1.438577291381669,1.5496746495803628,-0.11109735819869382
30.29459,8.479062,18.081432,-6.2445893,1.9047619047619049,1.6051582183739797,0.2996036863879252
30.225056,8.502737,18.08118,-6.2447515,3.275025278058645,1.9432262032593255,1.3317990747993194
30.381647,8.869559,18.080751,-6.245067,7.582364341085271,4.469831501945792,3.1125328391394795
30.425646,8.947502,18.079561,-6.2460604,26.273641102010423,11.045913206055259,15.227727895955164
30.322414,8.750325,18.078045,-6.2472925,89.95592048401036,19.019689748274413,70.93623073573595
30.115377,8.458483,18.075245,-6.248627,204.32692307692307,103.18377140774223,101.14315166918084
30.09164,8.387748,18.060581,-6.253111,288.8255813953488,177.6703396421843,111.15524175316452
30.197515,8.572968,17.022417,-9.331867,0.7137237762237763,0.7318647851659321,-0.018141008942155867
30.221432,8.493194,17.026264,-9.334387,0.8111111111111111,0.769800258591117,0.04131085251999411
30.1713,8.560603,17.037909,-9.33999,1.3495934959349594,1.2970907820511661,0.05250271388379324
30.148146,8.631073,17.05917,-9.351148,2.3294117647058825,2.3152986618051155,0.01411310290076706
30.108702,8.51064,17.104546,-9.375396,3.655172413793104,3.4221433808854274,0.23302903290767674
30.129688,8.538105,17.20175,-9.431605,6.415851775604735,6.500499511278016,-0.08464773567328088
30.134592,8.573455,17.390562,-9.566618,11.98,36.02722218532041,-24.04722218532041
30.17065,8.61843,17.68596,-9.862168,116.47368421052632,27.288968908610745,89.18471530191557
9.708634,4.982527,-35.30116,2.7511444,0.4352941176470588,0.4979008618860219,-0.06260674423896312
9.742217,4.91346,-35.3092,2.7572896,0.5833333333333334,0.652928471973533,-0.06959513864019962
9.749006,4.9073396,-35.326332,2.7693946,0.9659090909090908,1.104274151251427,-0.1383650603423361
9.721582,4.9346795,-35.360283,2.7965777,1.35,1.6388646302861212,-0.2888646302861211
9.713499,4.9423122,-35.441628,2.867871,2.0791592128801435,2.7441684689438866,-0.6650092560637431
9.694282,4.9616327,-35.575424,2.9886684,3.280449438202247,17.485129332993782,-14.204679894791536
9.683325,4.975535,-35.764977,3.1651042,5.806818181818182,9.839064477567035,-4.032246295748854
9.596216,5.0751643,-36.066914,3.4580505,12.0561797752809,29.225687697264025,-17.169507921983126
30.347208,8.521901,16.76676,-9.86236,0.7388833992094861,0.724632162434181,0.014251236775305043
30.347345,8.514682,16.772734,-9.864744,0.7666666666666667,0.8132040326882257,-0.046537366021559
30.401419,8.511119,16.782906,-9.870661,1.236068895643364,1.382999231169185,-0.1469303355258209
30.360968,8.496747,16.805817,-9.881267,2.0,2.307744510684906,-0.30774451068490594
30.256361,8.59229,16.851719,-9.9057045,3.0,3.5180311431744,-0.5180311431744
30.359938,8.479231,16.95069,-9.954587,5.141304347826087,15.768559334011465,-10.627254986185378
30.40114,8.50037,17.140863,-10.052059,9.269015047879616,13.632699235075272,-4.3636841871956555
30.228134,8.587487,17.468645,-10.221533,22.35820895522388,53.3974745750969,-31.03926561987302
9.422813,5.2765946,-36.04486,2.0398986,0.4166666666666667,0.5024821660182218,-0.08581549935155514
9.433593,5.2627316,-36.048203,2.0436969,0.5737577639751552,0.6304422915701338,-0.05668452759497855
9.381744,5.320385,-36.055443,2.0509498,0.9090909090909092,1.027651984694674,-0.11856107560376472
9.343309,5.3570237,-36.069973,2.065696,1.2222298221614227,1.5277009062935643,-0.3054710841321415
9.43483,5.2693677,-36.103573,2.0963893,1.7613871635610767,2.349302690834938,-0.5879155272738612
9.423358,5.2813106,-36.176224,2.1609185,2.467391304347826,17.056521841951856,-14.58913053760403
9.429794,5.269987,-36.335587,2.2967417,4.27906976744186,7.6280406133135035,-3.3489708458716434
9.5090475,5.1012425,-36.621365,2.5487518,8.046244319700616,16.17642533263511,-8.130181012934493
30.593227,9.664577,23.846085,1.6609854,1.710843373493976,1.6818852970013285,0.02895807649264759
30.533752,9.65652,23.845972,1.6605085,2.1965909090909093,1.7402976964371177,0.4562932126537915
30.567472,9.61462,23.845772,1.6595668,3.674649859943978,2.84705328744976,0.827596572494218
30.543676,9.511126,23.84549,1.6575505,6.468354430379747,6.141887792951158,0.32646663742858895
30.503828,9.488897,23.845135,1.6536158,11.24705882352941,16.808045342386958,-5.560986518857547
30.477938,9.508759,23.846033,1.6472255,34.24444444444445,21.564827700523278,12.67961674392117
30.552773,9.690106,23.852995,1.632151,104.98424467099166,120.34072740088861,-15.356482729896953
30.597658,9.75647,23.890038,1.5841743,229.9957687894435,212.89519372281052,17.100575066632985
15.151549,-3.5674624,-25.673628,-0.34484863,0.6547619047619048,0.6712596849958562,-0.01649778023395143
15.187466,-3.6094778,-25.672575,-0.34523848,0.9397590361445785,0.8064065681080398,0.13335246803653866
15.168644,-3.55975,-25.672218,-0.3451691,1.7741935483870968,1.165802219549989,0.6083913288371077
15.169114,-3.5964692,-25.672022,-0.34521154,3.761663286004057,1.707564184997783,2.054099101006274
15.191341,-3.5555093,-25.670263,-0.3458357,12.69065757818765,3.2165015452313757,9.474156032956275
15.281623,-3.591447,-25.670319,-0.34516683,42.706896551724135,10.499599367707333,32.2072971840168
15.334109,-3.368619,-25.669199,-0.34639862,99.07228915662652,47.129935945990816,51.94235321063571
