umap_x,umap_y,tsne_x,tsne_y,median_itl,median_itl_oof_pred,median_itl_resid
31.591066,10.503504,25.405281,-8.942369,88.0,53.675,34.325
11.85211,2.0944428,-29.185085,5.0627713,15.0,14.275,0.7249999999999996
11.837839,2.1074486,-29.177677,5.0681376,15.0,15.2,-0.1999999999999993
11.845889,2.083159,-29.163082,5.081308,17.0,16.055,0.9450000000000003
11.809353,2.1032765,-29.132595,5.107957,18.0,18.485,-0.48499999999999943
11.815781,2.080988,-29.070593,5.166517,21.0,21.8,-0.8000000000000007
11.836184,2.0947733,-28.966702,5.283455,25.0,34.48,-9.479999999999997
11.763694,2.0515385,-28.82202,5.4724503,36.0,45.285,-9.284999999999997
11.930033,2.1431315,-28.582766,5.7847753,58.0,78.14,-20.14
31.386145,10.2910795,23.588816,-6.03679,38.0,40.09,-2.0900000000000034
31.39696,10.33066,23.589176,-6.0362234,43.0,41.505,1.4949999999999974
31.3345,10.283677,23.589766,-6.0356765,46.0,44.055,1.9450000000000003
31.09222,10.097632,23.590935,-6.0338974,49.0,48.69,0.3100000000000023
31.137796,10.144025,23.593277,-6.030774,54.0,55.99,-1.990000000000002
31.130968,10.128453,23.597855,-6.023433,64.0,63.95,0.04999999999999716
31.471565,10.309747,23.60678,-6.0036435,82.0,78.04,3.9599999999999937
31.40961,10.330538,23.640106,-5.928297,121.0,78.07,42.93000000000001
31.420044,10.497723,24.231836,-8.592391,18.0,19.53,-1.5300000000000011
31.479,10.434319,24.242025,-8.597665,19.0,20.14,-1.1400000000000006
31.44945,10.358141,24.262213,-8.608848,21.0,21.365,-0.36499999999999844
31.456343,10.42231,24.309814,-8.63267,23.0,24.865,-1.8649999999999984
31.554707,10.465957,24.458933,-8.717067,27.0,29.855,-2.8550000000000004
31.525208,10.344414,24.660131,-8.827607,34.0,41.66,-7.659999999999997
31.567987,10.321017,24.893772,-8.960452,49.0,57.32,-8.32
31.662811,10.4175205,25.265404,-9.1883335,79.0,82.66,-3.6599999999999966
11.816559,2.0292704,-29.597694,5.410586,13.0,14.745,-1.7449999999999992
11.853,2.020536,-29.591904,5.416769,14.0,14.885,-0.8849999999999998
11.796798,2.035351,-29.577797,5.431525,15.0,15.245,-0.24499999999999922
11.876037,1.9841118,-29.539623,5.4771824,16.0,16.96,-0.9600000000000009
11.844982,2.0195682,-29.459326,5.5576844,18.0,20.14,-2.1400000000000006
11.848082,2.0577948,-29.328894,5.681365,22.0,27.49,-5.489999999999998
11.810868,1.98299,-29.147982,5.840323,32.0,42.505,-10.505000000000003
11.846959,2.0123062,-28.8476,6.097368,53.0,76.15,-23.150000000000006
31.642387,10.535154,23.977165,-9.288708,18.0,19.245,-1.245000000000001
31.613832,10.498731,23.985422,-9.293221,19.0,19.515,-0.5150000000000006
31.609432,10.504554,24.00254,-9.303396,20.0,20.765,-0.7650000000000006
31.70914,10.607501,24.03958,-9.327257,21.0,22.37,-1.370000000000001
31.700497,10.5959015,24.116589,-9.368818,24.0,26.99,-2.9899999999999984
31.66644,10.574271,24.258615,-9.435238,31.0,33.455,-2.4549999999999983
31.692432,10.632524,24.49547,-9.534494,45.0,50.705,-5.704999999999998
31.768127,10.513061,24.906788,-9.689177,75.0,86.2,-11.200000000000003
12.03814,2.2740834,-30.17088,6.1575747,13.0,14.23,-1.2300000000000004
12.058846,2.2845366,-30.16687,6.1614485,14.0,14.315,-0.3149999999999995
12.026959,2.2614741,-30.158758,6.168826,15.0,14.875,0.125
12.07788,2.308358,-30.142284,6.1839175,16.0,16.6,-0.6000000000000014
12.05641,2.2903445,-30.108206,6.2151985,18.0,19.1,-1.1000000000000014
12.031995,2.267962,-30.03284,6.2841573,22.0,24.54,-2.539999999999999
11.988797,2.226674,-29.884119,6.4246492,31.0,35.235,-4.234999999999999
11.738142,2.1825147,-29.61487,6.669815,50.0,67.75,-17.75
30.804956,9.934414,23.78524,-1.2492076,39.0,39.51,-0.509999999999998
30.863262,9.986847,23.785126,-1.2492099,43.0,42.155,0.8449999999999989
30.791769,9.940212,23.785088,-1.2493279,45.0,44.495,0.5050000000000026
30.83812,9.958773,23.784893,-1.2493075,50.0,48.625,1.375
30.9528,10.033574,23.784641,-1.2495662,56.0,60.125,-4.125
30.983717,10.065711,23.784042,-1.2500818,72.0,79.54,-7.540000000000006
30.86093,9.976122,23.78362,-1.2523128,103.0,101.655,1.3449999999999989
30.905308,10.013111,23.783178,-1.2644007,145.0,168.975,-23.974999999999994
-16.890131,-19.718555,-5.099728,4.68302,22.0,21.39,0.6099999999999994
-16.960861,-19.6859,-5.099734,4.6830244,22.0,22.42,-0.4200000000000017
-16.905313,-19.642256,-5.09972,4.6829786,23.0,23.17,-0.1700000000000017
-17.002249,-19.76609,-5.09974,4.6829996,25.0,25.605,-0.6050000000000004
-16.991316,-19.535686,-5.099781,4.6830964,26.0,28.83,-2.8299999999999983
-16.919779,-19.693962,-5.0994253,4.683183,25.0,37.63,-12.630000000000003
-16.996021,-19.577076,-5.0985355,4.684035,26.0,61.12,-35.12
-17.030624,-19.702734,-5.095817,4.685667,26.0,112.685,-86.685
-17.10013,-19.284721,-15.275603,-2.6025782,16.0,16.56,-0.5599999999999987
-17.049469,-19.308096,-15.274811,-2.6026092,17.0,17.265,-0.26500000000000057
-17.068544,-19.297117,-15.275227,-2.6025777,18.0,18.87,-0.870000000000001
-17.028934,-19.284986,-15.275558,-2.6025443,20.0,20.96,-0.9600000000000009
-16.995916,-19.48167,-15.2755,-2.6028965,28.0,26.105,1.8949999999999996
-17.090914,-19.297815,-15.275854,-2.6035645,50.0,39.675,10.325000000000003
-17.106674,-19.248714,-15.27649,-2.6040864,93.0,58.195,34.805
-17.134718,-19.261269,-15.279178,-2.6061673,183.0,98.1,84.9
-2.4525292,-13.044935,6.380384,11.224552,21.0,23.615,-2.6149999999999984
-2.4405544,-13.0512905,6.38483,11.243743,21.0,24.49,-3.4899999999999984
-2.4714074,-13.02656,6.3917804,11.283925,22.0,27.765,-5.765000000000001
-2.4881012,-13.013455,6.397614,11.364408,23.0,31.165,-8.165
-2.4196274,-13.0771265,6.376538,11.49212,29.0,35.29,-6.289999999999999
-2.4188437,-13.080437,6.310455,11.664881,37.0,47.805,-10.805
-2.4255726,-13.086736,6.217265,11.933831,59.0,460.765,-401.765
-2.5997982,-12.937814,6.072237,12.3938,71.0,277.7,-206.7
-3.6538596,-12.473019,1.3003378,7.4167295,20.0,20.345,-0.34499999999999886
-3.5950906,-12.515247,1.3037878,7.410755,21.0,21.09,-0.08999999999999986
-3.6153293,-12.504256,1.3111806,7.3998594,21.0,21.94,-0.9400000000000013
-3.5546129,-12.574566,1.3279576,7.3777795,22.0,23.585,-1.5850000000000009
-3.5970833,-12.53201,1.3768018,7.3326774,23.0,28.565,-5.565000000000001
-3.5543878,-12.561714,1.5198001,7.22393,24.0,34.36,-10.36
-3.4661696,-12.63545,1.8058034,6.9852133,23.0,39.79,-16.79
-3.301888,-12.774474,2.2496076,6.5216928,24.0,75.175,-51.175
-17.32775,-12.985485,-19.701628,-6.9593387,15.0,15.63,-0.6300000000000008
-17.340624,-13.000069,-19.694355,-6.951138,16.0,16.185,-0.18499999999999872
-17.306738,-12.966086,-19.679358,-6.9339943,16.0,17.02,-1.0199999999999996
-17.346241,-13.002152,-19.651283,-6.900834,17.0,18.525,-1.5249999999999986
-17.345335,-13.002512,-19.613838,-6.8422704,18.0,25.165,-7.164999999999999
-17.321022,-12.979795,-19.592628,-6.7316003,32.0,36.29,-4.289999999999999
-17.251295,-12.926076,-19.650633,-6.4670897,56.0,49.23,6.770000000000003
-17.114147,-12.836721,-19.773634,-5.9131346,101.0,80.61,20.39
0.01071675,-13.2519,11.844198,14.076043,20.0,26.62,-6.620000000000001
-0.0049976124,-13.248838,11.842288,14.096168,28.0,24.385,3.6149999999999984
-0.014794014,-13.2213125,11.840341,14.141596,29.0,28.83,0.1700000000000017
-0.013413096,-13.196318,11.835267,14.23877,32.0,29.46,2.539999999999999
0.0091873845,-13.190285,11.849857,14.385495,35.0,33.655,1.3449999999999989
0.0011853934,-13.154394,11.892717,14.561979,37.0,46.295,-9.295000000000002
-0.048806496,-13.099872,11.963568,14.842934,37.0,135.31,-98.31
