umap_x,umap_y,tsne_x,tsne_y,throughput,throughput_oof_pred,throughput_resid
9.631512,4.983299,-34.941372,3.1876843,50.16666666666666,64.5289583333334,-14.36229166666675
9.662702,4.987631,-34.94591,3.191953,88.4,105.34016666666653,-16.940166666666528
9.69169,4.9576793,-34.959133,3.2053742,142.15,180.11375000000018,-37.963750000000175
9.67716,4.9729686,-34.988445,3.2334843,220.375,294.2108750000005,-73.8358750000005
9.666397,4.9828606,-35.052383,3.2935421,312.675,357.81329166666643,-45.13829166666642
9.658752,4.994043,-35.181416,3.3912244,342.31666666666666,415.0095416666674,-72.69287500000075
9.634988,5.0214825,-35.401474,3.5358508,364.05,303.97087500000004,60.079124999999976
9.645456,5.018693,-35.773857,3.7585688,210.14166666666668,443.8712916666666,-233.7296249999999
30.276173,8.499633,18.081568,-6.2444315,20.025,23.67533333333332,-3.6503333333333217
30.29459,8.479062,18.081432,-6.2445893,30.08333333333333,41.36174999999992,-11.278416666666594
30.225056,8.502737,18.08118,-6.2447515,47.3,73.07725000000002,-25.777250000000024
30.381647,8.869559,18.080751,-6.245067,60.44166666666667,107.59824999999996,-47.156583333333295
30.425646,8.947502,18.079561,-6.2460604,69.6,81.53670833333358,-11.936708333333584
30.322414,8.750325,18.078045,-6.2472925,69.44166666666666,75.02533333333345,-5.583666666666787
30.115377,8.458483,18.075245,-6.248627,64.04166666666667,77.27891666666694,-13.237250000000273
30.09164,8.387748,18.060581,-6.253111,68.34166666666667,74.40566666666662,-6.06399999999995
30.197515,8.572968,17.022417,-9.331867,43.44166666666667,37.494375,5.947291666666672
30.221432,8.493194,17.026264,-9.334387,73.39166666666667,74.79391666666666,-1.4022499999999951
30.1713,8.560603,17.037909,-9.33999,118.65,114.07983333333348,4.570166666666523
30.148146,8.631073,17.05917,-9.351148,177.39166666666668,189.55624999999992,-12.16458333333324
30.108702,8.51064,17.104546,-9.375396,260.68333333333334,259.8066249999996,0.8767083333337382
30.129688,8.538105,17.20175,-9.431605,333.125,259.0582083333327,74.06679166666731
30.134592,8.573455,17.390562,-9.566618,277.7,326.5652500000004,-48.8652500000004
30.17065,8.61843,17.68596,-9.862168,7.008333333333334,344.4601249999991,-337.45179166666577
9.708634,4.982527,-35.30116,2.7511444,62.825,56.22358333333329,6.601416666666715
9.742217,4.91346,-35.3092,2.7572896,104.39166666666668,96.62258333333325,7.769083333333427
9.749006,4.9073396,-35.326332,2.7693946,177.7,163.00462500000023,14.695374999999757
9.721582,4.9346795,-35.360283,2.7965777,293.26666666666665,296.95220833333383,-3.685541666667177
9.713499,4.9423122,-35.441628,2.867871,457.8083333333333,539.3479166666658,-81.53958333333253
9.694282,4.9616327,-35.575424,2.9886684,624.5833333333334,703.4780416666673,-78.89470833333394
9.683325,4.975535,-35.764977,3.1651042,727.5333333333333,750.0916666666657,-22.55833333333237
9.596216,5.0751643,-36.066914,3.4580505,715.8916666666667,844.2719999999997,-128.38033333333306
30.347208,8.521901,16.76676,-9.86236,43.44166666666667,39.962041666666636,3.479625000000034
30.347345,8.514682,16.772734,-9.864744,77.025,67.31524999999992,9.709750000000085
30.401419,8.511119,16.782906,-9.870661,125.65,113.60166666666666,12.048333333333346
30.360968,8.496747,16.805817,-9.881267,202.0833333333333,181.3749999999999,20.7083333333334
30.256361,8.59229,16.851719,-9.9057045,318.80833333333334,363.2274583333338,-44.41912500000046
30.359938,8.479231,16.95069,-9.954587,401.9583333333333,396.5069583333341,5.451374999999189
30.40114,8.50037,17.140863,-10.052059,462.925,406.9713333333333,55.95366666666672
30.228134,8.587487,17.468645,-10.221533,405.28333333333336,357.6940000000005,47.58933333333283
9.422813,5.2765946,-36.04486,2.0398986,65.08333333333333,59.283583333333326,5.799750000000003
9.433593,5.2627316,-36.048203,2.0436969,109.28333333333332,100.09595833333326,9.18737500000006
9.381744,5.320385,-36.055443,2.0509498,185.81666666666663,173.97300000000024,11.843666666666394
9.343309,5.3570237,-36.069973,2.065696,325.3,295.86333333333425,29.436666666665758
9.43483,5.2693677,-36.103573,2.0963893,536.1,590.0227916666661,-53.92279166666606
9.423358,5.2813106,-36.176224,2.1609185,806.8666666666667,882.661125000001,-75.79445833333432
9.429794,5.269987,-36.335587,2.2967417,986.1333333333332,1034.238541666666,-48.10520833333271
9.5090475,5.1012425,-36.621365,2.5487518,1090.275,1044.914916666666,45.36008333333416
30.593227,9.664577,23.846085,1.6609854,16.166666666666668,23.16845833333335,-7.0017916666666835
30.533752,9.65652,23.845972,1.6605085,29.008333333333333,39.22424999999987,-10.215916666666537
30.567472,9.61462,23.845772,1.6595668,46.09166666666667,59.734416666666554,-13.642749999999886
30.543676,9.511126,23.84549,1.6575505,65.93333333333334,82.65445833333347,-16.72112500000013
30.503828,9.488897,23.845135,1.6536158,89.85833333333333,94.26974999999987,-4.41141666666654
30.477938,9.508759,23.846033,1.6472255,98.84166666666668,95.92108333333323,2.920583333333454
30.552773,9.690106,23.852995,1.632151,100.14166666666668,95.15895833333347,4.982708333333207
30.597658,9.75647,23.890038,1.5841743,89.91666666666667,95.60095833333332,-5.6842916666666525
15.151549,-3.5674624,-25.673628,-0.34484863,39.891666666666666,70.73362499999992,-30.841958333333253
15.187466,-3.6094778,-25.672575,-0.34523848,68.31666666666666,116.10800000000012,-47.791333333333455
15.168644,-3.55975,-25.672218,-0.3451691,105.875,186.71120833333353,-80.83620833333353
15.169114,-3.5964692,-25.672022,-0.34521154,142.13333333333333,244.43370833333358,-102.30037500000026
15.191341,-3.5555093,-25.670263,-0.3458357,151.05833333333334,174.4211666666672,-23.362833333333867
15.281623,-3.591447,-25.670319,-0.34516683,156.38333333333333,210.158416666667,-53.77508333333367
15.334109,-3.368619,-25.669199,-0.34639862,148.14166666666668,213.14954166666706,-65.00787500000038
15.393028,-3.2961879,-25.666145,-0.34651053,151.9,176.59179166666684,-24.69179166666683
31.510748,10.380908,24.5631,-8.2490635,28.65,42.583208333333324,-13.933208333333326
31.47819,10.424724,24.57494,-8.253413,56.625,74.24199999999995,-17.616999999999948
31.488184,10.377999,24.599028,-8.26203,85.21666666666667,124.49383333333338,-39.277166666666716
31.497837,10.419796,24.67569,-8.28933,132.075,169.41020833333346,-37.33520833333347
31.547003,10.347211,24.76832,-8.345411,191.425,232.28491666666628,-40.859916666666265
31.511875,10.366225,24.893867,-8.448881,275.31666666666666,220.01941666666673,55.297249999999934
31.534811,10.368427,25.08701,-8.628845,305.25,228.15633333333295,77.09366666666705
31.591066,10.503504,25.405281,-8.942369,210.45,262.7949166666668,-52.34491666666679
11.85211,2.0944428,-29.185085,5.0627713,64.025,66.03891666666664,-2.0139166666666313
11.837839,2.1074486,-29.177677,5.0681376,109.59166666666668,106.17104166666661,3.420625000000072
11.845889,2.083159,-29.163082,5.081308,182.51666666666668,175.22900000000035,7.2876666666663255
11.809353,2.1032765,-29.132595,5.107957,306.35,297.2928333333337,9.057166666666319
11.815781,2.080988,-29.070593,5.166517,463.48333333333335,486.00912499999976,-22.525791666666407
11.836184,2.0947733,-28.966702,5.283455,639.8166666666667,628.0389583333335,11.77770833333318
11.763694,2.0515385,-28.82202,5.4724503,803.3833333333333,629.8432916666666,173.54004166666675
11.930033,2.1431315,-28.582766,5.7847753,928.3416666666668,608.7597083333327,319.5819583333341
31.386145,10.2910795,23.588816,-6.03679,24.641666666666666,25.982208333333325,-1.3405416666666596
31.39696,10.33066,23.589176,-6.0362234,39.708333333333336,42.263541666666576,-2.5552083333332405
31.3345,10.283677,23.589766,-6.0356765,65.90833333333333,81.302625,-15.394291666666675
31.09222,10.097632,23.590935,-6.0338974,105.9,116.62645833333325,-10.726458333333241
31.137796,10.144025,23.593277,-6.030774,161.70833333333334,218.65224999999992,-56.94391666666658
31.130968,10.128453,23.597855,-6.023433,223.00833333333333,232.47941666666694,-9.47108333333361
31.471565,10.309747,23.60678,-6.0036435,260.68333333333334,229.49691666666686,31.186416666666474
31.40961,10.330538,23.640106,-5.928297,232.39166666666668,241.2935833333336,-8.90191666666692
31.420044,10.497723,24.231836,-8.592391,49.05833333333333,37.33824999999989,11.720083333333442
31.479,10.434319,24.242025,-8.597665,83.44166666666666,65.93337499999998,17.50829166666668
31.44945,10.358141,24.262213,-8.608848,137.56666666666666,109.42620833333342,28.140458333333243
31.456343,10.42231,24.309814,-8.63267,215.90833333333333,189.81904166666672,26.08929166666661
31.554707,10.465957,24.458933,-8.717067,339.8583333333333,394.5506250000003,-54.69229166666702
31.525208,10.344414,24.660131,-8.827607,475.2916666666667,470.7500833333335,4.541583333333165
31.567987,10.321017,24.893772,-8.960452,573.2916666666666,523.3772916666671,49.914374999999495
31.662811,10.4175205,25.265404,-9.1883335,609.625,525.6612083333334,83.96379166666657
11.816559,2.0292704,-29.597694,5.410586,71.15833333333333,61.41854166666655,9.739791666666783
11.853,2.020536,-29.591904,5.416769,117.26666666666668,109.54291666666686,7.723749999999825
11.796798,2.035351,-29.577797,5.431525,198.1833333333333,179.179625,19.00370833333332
11.876037,1.9841118,-29.539623,5.4771824,350.5083333333333,309.32941666666693,41.178916666666396
11.844982,2.0195682,-29.459326,5.5576844,568.3416666666667,581.3502083333345,-13.008541666667838
11.848082,2.0577948,-29.328894,5.681365,833.7916666666666,740.234833333333,93.55683333333366
11.810868,1.98299,-29.147982,5.840323,1068.8583333333331,999.2862916666659,69.57204166666725
11.846959,2.0123062,-28.8476,6.097368,1261.2083333333333,992.3837500000013,268.82458333333193
31.642387,10.535154,23.977165,-9.288708,45.71666666666667,40.84041666666666,4.876250000000006
31.613832,10.498731,23.985422,-9.293221,78.90833333333333,71.44762500000006,7.460708333333272
31.609432,10.504554,24.00254,-9.303396,132.66666666666666,125.74783333333326,6.918833333333396
31.70914,10.607501,24.03958,-9.327257,217.29166666666663,191.1945833333331,26.09708333333353
31.700497,10.5959015,24.116589,-9.368818,339.31666666666666,360.17637499999967,-20.859708333333003
31.66644,10.574271,24.258615,-9.435238,445.625,455.3034166666664,-9.678416666666408
31.692432,10.632524,24.49547,-9.534494,517.025,502.20629166666737,14.818708333332609
31.768127,10.513061,24.906788,-9.689177,537.5416666666666,503.36129166666615,34.18037500000048
12.03814,2.2740834,-30.17088,6.1575747,70.1,63.30287499999994,6.797125000000051
12.058846,2.2845366,-30.16687,6.1614485,116.63333333333334,110.40149999999993,6.231833333333412
12.026959,2.2614741,-30.158758,6.168826,197.15833333333333,189.98495833333342,7.173374999999908
12.07788,2.308358,-30.142284,6.1839175,355.525,331.9464583333336,23.578541666666354
12.05641,2.2903445,-30.108206,6.2151985,597.2416666666667,599.7493333333317,-2.5076666666650453
12.031995,2.267962,-30.03284,6.2841573,903.5333333333332,861.5284166666684,42.004916666664826
11.988797,2.226674,-29.884119,6.4246492,1218.2083333333333,1134.1984583333326,84.00987500000065
11.738142,2.1825147,-29.61487,6.669815,1412.1416666666669,1171.2747083333356,240.86695833333124
30.804956,9.934414,23.78524,-1.2492076,22.225,26.084625000000024,-3.8596250000000225
30.863262,9.986847,23.785126,-1.2492099,37.708333333333336,42.12866666666657,-4.420333333333232
30.791769,9.940212,23.785088,-1.2493279,63.13333333333333,72.01104166666653,-8.877708333333196
30.83812,9.958773,23.784893,-1.2493075,92.05833333333334,104.51266666666672,-12.45433333333338
30.9528,10.033574,23.784641,-1.2495662,129.775,166.20870833333345,-36.43370833333344
30.983717,10.065711,23.784042,-1.2500818,163.35833333333332,170.59987500000014,-7.241541666666819
