seed,n_train,n_test,R2,MAE,RMSE,MRE
42,8564,2142,0.3171163328344062,200.30616167084858,425.94999965942174,412.9703559618415
1042,8564,2142,0.12551403166648412,219.76223925803507,603.6812237684517,413.29796032513127
2042,8564,2142,-0.07420759624029372,201.03826809923422,503.2994484986098,414.8042979688692
3042,8564,2142,0.09668862148807655,215.51072895807397,577.3552592734546,396.2636843513973
4042,8564,2142,0.27192784622475863,200.5297561111327,461.078029034349,443.48639380707306
