per_model_file,learner,cv,target,n_runs,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MRE_mean,MRE_std
data_EleutherAI_gpt-neox-20b,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.4838618069568269,0.007131247177044206,421.98055024289334,7.068257597910696,157.42275519374545,0.604707255648865,278.2683644964749,8.108573716879757
data_Salesforce_codegen2-16B,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.19890044990067077,0.09388512310509418,369.59366280087636,25.919791689238917,156.7779385667979,6.536416805049955,994.9860300610053,19.8486242141792
data_bigcode_starcoder,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.48375303234290445,0.008233962954020525,434.048325230394,8.294210476069097,160.59858487224025,0.8405538483383176,168.36738040601185,2.4283738130227093
data_bigscience_mt0-xxl,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.14740784719468636,0.1552992144540017,514.2727920468574,75.37286990358096,207.42943081946493,9.441914251734765,416.16453848286244,17.04991275701166
data_google_flan-t5-xl,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.28092914932113117,0.15003695356736468,369.5631329978885,49.66046318693657,121.31803516575162,4.8530129383105916,309.7042475554466,3.8613168185111864
data_google_flan-t5-xxl,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.2367752093384173,0.1507976094186877,352.30003737850797,39.42044462692148,122.66608652976883,3.1754090236629846,385.078266782236,10.098065497589259
data_google_flan-ul2,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.41839800298653856,0.012238882656627394,282.312177601932,7.889457106793688,100.54544013929235,1.589902624906515,274.8040897728931,6.298283849851267
data_ibm_mpt-7b-instruct2,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.24682591369451456,0.031574824609836474,686.2262164743643,33.31376923835627,287.29069859415694,10.77238822359171,985.1872693846581,36.45312675310304
data_llama-13b,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.4605125617884198,0.00716866800914499,470.38141920886676,11.780721026986608,172.59127109320667,1.3684955012389957,227.1051361271365,4.316167145178952
data_llama-7b,ALA,split80_20,Target_throughput_tokens_per_sec,5,0.4474750556573407,0.013418394869322184,599.5879592698263,16.367192082044653,213.78187482365266,3.259606675599419,194.20167047960265,1.8745076773458154
