seed,n_train,n_test,R2,MAE,RMSE,MRE
42,62337,15585,0.10673984646139689,125.93330446572982,382.37554830816003,397.9838456181992
1042,62337,15585,0.2555796885277555,121.36372076195428,328.67728894108717,393.7536699845636
2042,62337,15585,0.36809401253153295,120.65543535408317,327.0804235599438,375.2031034581274
3042,62337,15585,0.059025433254955684,126.14718305736234,406.07484137919386,379.09273993435903
4042,62337,15585,0.39443706591644556,119.23078900971454,317.29208470415483,379.35797491593087
